WEIGHT(N),HEIGHT(mm),HEAD CIRCUMFERENCE(mm),SHOULDER BREADTH(mm),HAND LENGTH(mm),CHEST CIRCUMFERENCE(mm),WAIST CIRCUMFERENCE(mm),SLEEVE LENGTH(mm),AGE (months)
564,1453,559,396,171,872,868,357.5,134
441,1484,533,392,169,788,752,377,134
367,1511,518,323,164,707,608,430,134
324,1320,542,353,147,724,654,336.5,135
312,1341,546,331,150,669,596,355,135
301,1351,516,327,145,766,572,367,135
309,1356,530,323,152,638,562,364.5,135
344,1381,520,333,157,669,594,367,135
336,1407,544,328,152,694,583,387.5,135
320,1407,520,341,140,678,585,393,135
442,1409,540,360,144,765,751,380.5,135
385,1419,552,364,165,734,671,362.5,135
353,1429,526,358,154,690,649,381.5,135
328,1435,522,323,153,671,591,403,135
392,1473,528,343,156,682,635,409,135
367,1481,538,348,159,723,604,407.5,135
315,1489,528,326,169,633,565,412.5,135
332,1498,534,290,154,668,614,450,135
490,1602,566,390,181,809,684,425,135
332,1361,519,331,150,644,570,365,136
298,1363,555,321,156,664,568,365,136
306,1370,517,320,153,658,553,372,136
300,1385,511,339,150,665,554,373,136
414,1406,551,373,164,725,687,352.5,136
332,1407,542,345,157,700,609,374,136
306,1414,556,321,143,642,564,403.5,136
395,1422,550,373,150,724,635,374.5,136
324,1434,515,340,162,687,542,385,136
384,1462,525,347,165,703,624,392.5,136
443,1467,550,369,170,803,685,379,136
388,1480,539,355,157,706,644,405.5,136
404,1492,527,352,168,753,651,402,136
645,1545,559,422,179,884,852,382.5,136
275,1338,514,313,150,625,564,362.5,137
329,1368,559,327,151,678,592,369.5,137
328,1376,538,330,146,684,623,377,137
448,1378,551,379,159,823,739,340.5,137
297,1378,512,328,142,680,572,383,137
291,1402,504,332,150,664,554,385,137
319,1437,523,321,159,654,571,399,137
417,1445,532,345,164,740,696,386,137
383,1451,552,353,156,703,603,393,137
525,1484,537,387,164,799,797,384.5,137
386,1484,551,360,169,688,611,393,137
431,1486,552,353,168,732,706,398.5,137
490,1498,575,389,169,783,698,385.5,137
379,1506,528,346,156,706,622,424,137
281,1334,528,325,145,645,584,359.5,138
307,1334,515,332,140,664,574,361,138
287,1382,513,310,159,646,551,377,138
354,1383,532,333,159,584,632,366,138
342,1411,525,319,151,664,608,395,138
353,1411,561,335,159,670,588,379,138
546,1411,561,398,155,866,831,351.5,138
324,1442,522,349,156,683,584,390.5,138
447,1444,542,355,157,748,675,387.5,138
457,1448,535,373,154,789,729,383.5,138
344,1452,532,339,143,660,625,413.5,138
383,1463,564,356,152,718,695,401.5,138
323,1467,525,328,158,687,622,411.5,138
348,1470,541,340,162,707,600,403,138
342,1472,529,330,157,692,586,414,138
341,1369,509,331,147,701,615,372,139
416,1378,504,356,150,772,735,361,139
311,1426,523,314,159,655,547,397,139
345,1436,553,345,144,699,598,401.5,139
352,1445,548,317,162,668,630,402,139
390,1466,577,350,173,727,649,385,139
487,1516,545,406,167,799,732,388,139
455,1525,540,375,172,760,715,403,139
427,1531,529,353,159,688,613,430,139
445,1538,550,351,181,774,684,412.5,139
356,1439,547,337,155,716,567,396,140
366,1455,539,324,156,687,615,409.5,140
358,1460,556,332,161,682,603,403,140
410,1470,546,373,161,726,641,387.5,140
328,1481,507,324,157,638,597,421.5,140
434,1485,552,358,160,767,662,403.5,140
392,1487,548,394,166,728,620,380.5,140
370,1488,533,338,160,691,638,415,140
511,1518,535,373,174,758,684,398.5,140
451,1549,529,365,168,735,680,424,140
600,1603,528,398,174,827,781,428.5,140
357,1399,548,337,154,678,582,377,141
439,1438,529,395,156,774,716,365.5,141
340,1468,530,349,158,668,602,401.5,141
351,1468,523,344,168,683,620,394,141
412,1475,531,357,169,714,673,390,141
390,1481,547,360,163,730,624,397.5,141
334,1487,541,334,161,654,588,415.5,141
533,1628,557,404,185,861,697,427,141
322,1387,528,316,144,660,582,391.5,142
342,1390,538,326,158,687,593,374,142
313,1405,497,327,151,687,584,388,142
293,1417,513,300,158,639,539,400.5,142
350,1431,524,354,160,690,599,378.5,142
366,1450,541,359,165,701,616,380.5,142
344,1452,531,352,161,684,595,389,142
471,1457,539,366,159,791,745,386.5,142
391,1461,516,349,156,727,670,400,142
360,1468,557,341,157,656,605,406.5,142
344,1487,534,342,156,682,595,416.5,142
347,1490,522,347,175,690,572,396.5,142
352,1506,523,349,167,671,594,411.5,142
350,1532,535,352,153,684,594,437,142
406,1546,569,344,167,735,623,434,142
600,1634,555,407,175,810,778,438.5,142
