WEIGHT(N),HEIGHT(mm),HEAD CIRCUMFERENCE(mm),SHOULDER BREADTH(mm),HAND LENGTH(mm),CHEST CIRCUMFERENCE(mm),WAIST CIRCUMFERENCE(mm),SLEEVE LENGTH(mm),AGE (months)
715,1695,579,401,172,923,818,475,174
661,1700,566,452,189,950,895,435,174
398,1460,539,358,163,733,647,388,175
449,1549,555,358,172,758,664,423.5,175
455,1553,529,370,175,798,665,416.5,175
563,1577,550,414,170,867,798,411.5,175
540,1625,560,382,182,809,672,439.5,175
495,1628,556,396,179,803,639,437,175
610,1629,547,425,193,883,710,409,175
540,1631,569,398,170,810,691,446.5,175
526,1641,543,373,194,748,707,440,175
465,1644,577,364,181,756,610,459,175
708,1644,542,432,185,915,863,421,175
526,1655,550,399,180,788,665,448,175
518,1674,542,392,178,804,681,463,175
618,1721,532,415,186,862,716,467,175
634,1737,578,437,181,899,778,469,175
656,1738,545,424,188,879,742,469,175
402,1487,524,358,159,729,616,405.5,176
356,1496,541,348,179,710,597,395,176
439,1560,542,369,175,759,662,420.5,176
468,1575,522,365,163,790,671,442,176
534,1613,571,387,174,805,699,439,176
457,1624,517,365,175,725,634,454.5,176
460,1631,546,361,179,745,663,456,176
508,1635,546,380,183,781,687,444.5,176
507,1637,564,424,190,853,705,416.5,176
516,1637,529,394,183,822,691,438.5,176
715,1655,559,420,182,902,834,435.5,176
552,1668,562,399,183,855,686,451.5,176
543,1713,521,401,187,836,680,469,176
715,1846,568,450,195,888,760,503,176
380,1485,536,348,156,741,603,412.5,177
390,1497,532,365,166,751,623,400,177
401,1518,524,359,167,740,621,412.5,177
373,1520,529,358,166,725,631,415,177
448,1546,537,382,171,747,631,411,177
392,1558,548,368,173,752,589,422,177
503,1570,556,383,179,860,694,414.5,177
451,1591,548,386,184,764,618,418.5,177
530,1669,553,403,192,795,697,441,177
573,1702,549,403,174,897,661,475.5,177
691,1727,564,441,193,903,771,450,177
571,1734,562,381,186,796,684,490.5,177
812,1768,592,453,195,957,873,462.5,177
405,1552,525,361,164,771,656,431.5,178
587,1583,579,398,163,855,775,429.5,178
490,1628,581,365,184,789,640,447.5,178
510,1689,539,396,186,783,653,460.5,178
594,1692,578,426,176,833,708,457,178
655,1719,554,446,198,870,704,438.5,178
695,1761,555,448,190,892,734,466.5,178
745,1780,579,466,198,966,808,459,178
506,1542,548,398,186,828,664,386,179
475,1588,539,374,163,759,692,444,179
474,1640,546,390,180,760,658,445,179
607,1663,558,404,192,854,738,437.5,179
599,1665,562,415,178,863,736,447,179
723,1672,585,430,182,910,845,439,179
628,1696,563,431,185,870,859,447.5,179
671,1741,572,447,183,892,741,464,179
712,1744,565,433,202,853,766,453.5,179
548,1746,579,410,183,849,651,485,179
620,1760,561,432,186,844,715,478,179
754,1867,576,448,190,943,713,519.5,179
567,1596,550,387,172,807,716,432.5,180
517,1645,607,406,194,836,671,425.5,180
533,1662,557,396,196,819,650,437,180
543,1680,569,397,187,823,702,454.5,180
641,1689,579,419,189,898,752,446,180
854,1696,544,467,184,998,946,430.5,180
674,1701,574,429,190,908,750,446,180
643,1736,548,423,184,904,734,472.5,180
618,1746,553,429,194,907,703,464.5,180
588,1763,563,420,183,838,686,488.5,180
645,1764,561,440,185,895,798,477,180
603,1793,527,414,190,838,662,499.5,180
521,1587,547,400,176,811,710,417.5,181
506,1632,549,389,189,809,682,432.5,181
796,1708,565,435,192,910,805,444.5,181
637,1717,534,409,178,838,768,476,181
499,1722,556,386,179,773,631,489,181
583,1791,545,409,194,834,671,497,181
515,1651,553,403,182,805,649,442,182
576,1669,557,398,180,868,727,455.5,182
556,1673,562,394,188,841,708,451.5,182
621,1686,540,398,193,857,802,451,182
618,1695,558,440,197,941,720,430.5,182
557,1702,572,415,171,844,683,472.5,182
601,1747,561,406,190,834,728,480.5,182
655,1774,574,424,204,872,707,471,182
625,1776,549,445,185,875,747,480.5,182
693,1811,551,415,200,870,753,498,182
535,1814,535,411,196,845,658,505.5,182
431,1549,539,393,169,787,578,409,183
425,1595,541,380,178,751,666,429.5,183
496,1632,525,395,179,788,666,439.5,183
557,1671,578,380,182,790,697,463.5,183
635,1673,556,416,177,864,814,451.5,183
650,1679,555,447,182,886,717,434,183
600,1706,561,423,189,866,756,452.5,183
722,1746,571,465,196,933,773,444.5,183
653,1774,557,404,184,882,709,501,183
672,1807,572,467,183,980,698,487,183
418,1551,543,375,172,788,658,416,184
562,1651,561,399,188,845,705,438,184
504,1688,519,407,177,839,686,463.5,184
679,1699,557,427,190,864,804,446,184
573,1724,547,408,187,848,692,471,184
634,1743,566,409,198,880,748,469,184
776,1800,594,438,195,932,828,486,184
478,1493,551,392,176,832,664,374.5,185
585,1502,530,411,166,909,801,379.5,185
532,1603,533,427,181,852,683,407,185
658,1625,562,438,175,944,808,418.5,185
567,1707,540,404,176,814,684,475.5,185
631,1738,556,451,196,910,711,447.5,185
623,1741,548,411,195,863,745,470,185
1050,1754,581,465,183,1076,1094,461.5,185
767,1759,548,473,192,964,818,451,185
714,1836,572,446,188,879,748,507,185
478,1695,534,392,179,842,679,472.5,186
624,1705,558,396,179,862,682,475.5,186
631,1733,571,405,193,878,704,471,186
330,1473,538,355,151,692,569,408,187
568,1654,561,394,178,837,667,452,187
561,1715,565,414,179,829,711,471.5,187
679,1728,560,446,205,905,788,436,187
710,1774,580,443,192,965,807,473.5,187
741,1786,552,446,196,926,780,474,187
747,1810,555,466,196,955,772,476,187
544,1621,579,395,174,818,715,439,188
537,1655,543,393,191,823,709,440,188
601,1702,555,393,182,787,756,472.5,188
567,1764,568,402,197,828,731,484,188
790,1782,585,450,203,913,865,463,188
810,1795,584,474,185,930,911,475.5,188
801,1830,570,426,200,951,773,502,188
791,1838,572,453,198,969,792,494.5,188
565,1687,553,405,192,834,689,449,189
592,1701,573,440,183,921,691,447.5,189
628,1727,570,415,173,868,732,483,189
616,1770,554,441,191,915,674,473.5,189
655,1774,567,431,201,883,685,470.5,189
698,1806,566,431,189,939,752,498.5,189
819,1820,593,456,193,965,832,489,189
767,1854,568,428,191,906,757,522,189
714,1856,559,438,196,886,718,513,189
555,1726,573,427,182,843,673,467.5,190
601,1760,541,434,177,868,668,486,190
624,1798,518,459,186,852,693,483.5,190
696,1807,574,458,190,941,753,484.5,190
642,1852,577,428,216,838,718,496,190
721,1866,571,441,198,974,756,514.5,190
462,1517,515,390,172,794,640,391.5,191
399,1534,526,371,173,743,643,408.5,191
743,1695,565,449,199,921,832,424,191
562,1721,571,443,184,843,706,455,191
720,1747,566,449,189,911,827,460,191
662,1776,563,450,205,881,737,458,191
682,1792,590,429,191,906,734,490.5,191
749,1800,560,453,192,933,755,481.5,191
948,1883,583,467,193,1079,965,515,191
570,1700,525,392,195,826,705,459,192
621,1718,544,440,182,928,747,457,192
584,1746,566,396,190,833,702,485,192
678,1754,561,413,192,863,826,478.5,192
608,1788,582,404,195,839,688,497,192
850,1808,590,483,197,1060,854,465.5,192
712,1820,559,435,179,915,728,513.5,192
596,1632,557,414,178,865,780,431,193
518,1646,535,387,163,809,659,466.5,193
581,1674,558,382,187,873,668,459,193
614,1724,566,431,191,924,713,455.5,193
644,1728,566,402,201,878,706,462,193
530,1736,538,394,183,815,663,488,193
722,1771,559,466,194,1018,765,458.5,193
768,1791,564,483,184,971,759,470,193
661,1801,570,438,193,910,733,488.5,193
757,1818,585,456,197,902,774,484,193
797,1829,591,449,198,910,774,492,193
697,1834,575,450,193,997,742,499,193
631,1653,546,447,181,924,812,422,194
468,1668,543,392,177,784,653,461,194
686,1695,553,424,185,874,773,450.5,194
597,1695,542,389,184,823,710,469,194
556,1695,569,418,184,834,701,454.5,194
581,1723,576,416,187,843,677,466.5,194
861,1728,598,480,187,1037,895,437,194
676,1738,566,470,192,928,743,442,194
666,1740,582,434,183,906,728,470,194
690,1750,566,429,186,886,766,474.5,194
678,1763,587,447,194,909,770,464,194
652,1802,552,438,193,894,728,489,194
1066,1850,605,518,188,1123,1085,478,194
395,1500,524,367,179,751,650,387.5,195
468,1675,537,416,174,820,644,455.5,195
638,1784,576,432,185,860,685,491,195
702,1825,599,437,208,918,709,486,195
708,1831,564,449,197,938,729,494,195
712,1844,596,446,207,939,726,492,195
853,1855,573,472,204,1004,823,487.5,195
713,1734,569,475,189,958,796,440.5,196
699,1759,567,443,200,903,731,458,196
600,1784,537,400,189,822,702,503,196
552,1611,535,411,188,821,706,412,197
598,1644,563,415,180,859,687,434.5,197
448,1655,542,380,174,772,615,463.5,197
648,1684,552,456,177,911,766,437,197
641,1731,576,419,184,881,716,472,197
929,1732,597,490,195,1039,942,426,197
566,1736,551,418,183,812,675,476,197
676,1738,558,454,194,922,685,448,197
609,1743,572,436,186,930,779,467.5,197
786,1746,573,462,192,922,818,450,197
795,1755,609,506,182,957,750,442.5,197
666,1771,567,433,186,921,724,483,197
674,1801,580,438,189,945,783,492.5,197
810,1820,585,477,186,1006,814,485.5,197
739,1848,579,441,194,931,763,509.5,197
751,1650,565,475,165,955,830,422.5,198
667,1704,575,428,190,928,718,448,198
738,1730,585,465,187,949,808,445.5,198
646,1831,559,445,192,910,677,501,198
588,1637,580,415,171,893,689,440,199
662,1650,581,445,183,971,749,419.5,199
710,1734,582,426,170,872,802,484,199
674,1744,553,436,187,921,752,467,199
681,1750,568,418,184,964,741,482,199
551,1765,531,387,194,823,715,495,199
652,1790,560,442,185,924,705,489,199
756,1829,599,456,196,971,764,490.5,199
801,1868,536,475,196,922,755,500.5,199
635,1697,543,405,187,875,772,459,200
707,1753,576,451,190,946,790,461,200
659,1761,564,428,202,935,759,464.5,200
640,1768,560,449,196,865,890,463.5,200
719,1820,567,461,191,976,797,488.5,200
643,1826,561,424,194,853,692,507,200
662,1832,580,438,201,884,717,496,200
557,1705,564,403,181,834,676,470,201
613,1712,557,403,172,868,702,482.5,201
532,1716,541,417,165,818,660,484.5,201
811,1727,567,481,196,957,913,427,201
622,1744,553,437,184,896,722,469.5,201
648,1744,563,422,184,876,725,477,201
603,1757,568,419,198,885,693,471,201
742,1762,572,459,184,962,810,467.5,201
642,1768,578,441,194,911,753,469.5,201
857,1791,612,484,205,1048,828,448.5,201
700,1819,577,450,199,898,761,485.5,201
558,1693,544,435,182,903,668,447,202
505,1695,541,383,173,789,682,483,202
649,1711,563,426,184,909,751,458.5,202
620,1718,568,415,198,861,714,453.5,202
747,1770,566,448,196,939,755,465,202
676,1776,569,426,197,920,766,478,202
654,1792,576,419,192,880,733,494.5,202
707,1808,579,434,189,912,765,498,202
548,1622,535,425,175,845,695,423.5,203
540,1684,530,414,177,867,679,458,203
560,1685,557,376,179,831,692,475.5,203
580,1718,558,423,182,878,686,465.5,203
639,1720,578,452,181,920,749,453,203
686,1743,580,452,188,963,741,457.5,203
724,1778,571,442,178,949,818,490,203
673,1778,573,442,197,948,751,471,203
964,1831,588,517,198,1054,985,459,203
892,1844,581,467,196,962,903,492.5,203
1062,1848,603,516,186,1111,1063,480,203
597,1672,545,426,181,925,728,442,204
698,1743,556,421,193,911,827,468,204
630,1751,562,429,192,865,683,469,204
599,1763,571,428,180,859,693,487.5,204
720,1778,576,447,182,881,733,483.5,204
668,1786,560,444,201,896,751,470,204
691,1787,512,461,190,859,687,473,204
642,1800,560,426,203,842,708,484,204
696,1803,553,458,184,951,778,488.5,204
758,1803,559,448,200,948,806,477.5,204
649,1816,550,463,191,984,724,485.5,204
835,1841,578,462,199,977,815,490.5,204
632,1669,545,429,180,874,729,440,205
468,1672,512,388,185,805,635,457,205
704,1675,576,427,181,961,771,443,205
674,1683,582,456,174,920,762,439.5,205
682,1699,548,429,182,911,765,453,205
615,1709,557,424,182,916,737,460.5,205
638,1725,560,414,178,891,764,477.5,205
753,1771,586,458,198,960,780,458.5,205
746,1813,576,498,197,1000,774,460.5,205
772,1896,591,444,217,939,752,509,205
553,1679,562,445,183,890,704,434,206
644,1693,582,428,179,881,753,453.5,206
660,1719,571,445,181,898,762,456,206
600,1757,550,412,183,848,684,489.5,206
788,1770,558,459,181,936,941,474.5,206
713,1790,574,444,191,894,807,482,206
849,1730,584,474,190,999,863,438,207
775,1749,574,481,200,1000,834,434,207
729,1775,577,441,188,945,754,479,207
746,1797,547,443,200,939,791,477,207
646,1807,575,434,201,867,676,485.5,207
675,1810,574,456,199,926,742,478,207
805,1812,580,448,188,942,889,494,207
718,1833,582,457,196,982,762,492,207
518,1584,574,392,177,853,698,419,208
666,1667,576,434,183,928,810,433.5,208
597,1705,596,424,190,908,692,450.5,208
671,1733,562,463,193,952,732,442,208
747,1746,562,483,197,995,817,434.5,208
1032,1763,580,491,189,1111,1000,447,208
847,1774,558,478,184,1038,876,464,208
663,1787,564,440,188,854,741,485.5,208
731,1809,601,453,206,926,739,472,208
809,1809,572,489,196,1022,827,464,208
900,1818,593,500,189,1094,877,470,208
801,1824,580,474,185,1033,803,490,208
925,1868,577,454,198,1006,965,509,208
714,1876,552,461,194,907,734,513.5,208
696,1727,562,473,188,965,739,439,209
562,1791,561,396,184,795,642,513.5,209
805,1818,555,468,186,979,833,489,209
698,1820,570,434,193,938,763,500,209
600,1698,537,445,173,897,711,453.5,210
754,1723,569,481,194,972,781,427,210
799,1725,584,460,183,985,865,449.5,210
690,1748,562,473,191,989,761,446.5,210
680,1799,591,428,197,935,741,488.5,210
757,1828,575,440,193,1045,819,501,210
728,1829,568,445,202,932,772,490,210
640,1658,576,457,188,942,725,412.5,211
613,1739,559,450,181,886,714,463.5,211
822,1745,588,469,192,987,842,446,211
802,1783,569,464,193,945,848,466.5,211
767,1795,580,444,202,963,841,473.5,211
724,1795,563,465,193,962,758,472,211
724,1822,577,443,192,901,843,497.5,211
674,1718,568,435,189,899,726,452.5,212
633,1738,575,435,191,887,700,460.5,212
753,1739,571,464,176,990,810,461.5,212
687,1754,577,433,190,918,780,470.5,212
697,1770,554,454,190,928,775,468,212
803,1799,589,476,185,998,787,476.5,212
748,1853,579,446,205,938,763,498.5,212
664,1727,572,457,188,942,768,447,213
719,1729,580,464,188,952,818,444.5,213
720,1783,592,447,183,922,818,485,213
489,1574,549,419,173,832,657,404.5,214
708,1765,571,453,196,989,756,460,214
641,1781,564,481,188,955,686,462,214
982,1814,613,506,215,1058,911,439,214
832,1931,580,450,212,941,815,528.5,214
439,1571,530,393,179,822,625,410,215
618,1667,568,413,188,871,743,439,215
697,1696,567,448,191,952,793,433,215
670,1712,572,463,193,944,758,431.5,215
704,1712,560,447,189,912,774,443.5,215
541,1719,553,404,191,814,657,466.5,215
627,1748,585,443,184,914,718,468.5,215
699,1748,605,455,194,948,793,452.5,215
712,1751,579,449,200,928,774,451,215
780,1755,580,453,189,945,820,462,215
622,1763,560,427,188,880,685,480,215
787,1803,585,491,187,955,846,469,215
806,1851,572,449,216,967,795,485,215
528,1606,540,406,173,827,688,427,216
633,1671,569,429,181,924,757,440,216
569,1721,552,400,170,836,683,490.5,216
673,1732,576,431,194,886,772,456.5,216
612,1769,563,437,198,860,700,468,216
774,1800,587,450,202,947,772,473,216
915,1807,570,497,199,1048,896,456,216
610,1836,579,435,199,876,708,501.5,216
818,1868,573,502,192,1038,784,491,216
799,1681,557,449,182,987,911,434,217
714,1756,558,451,189,903,789,463.5,217
861,1769,566,483,197,1033,925,446,217
761,1777,568,465,189,998,756,467,217
817,1790,591,470,200,1020,820,460,217
734,1820,551,451,191,983,819,493.5,217
733,1836,575,459,185,936,770,503.5,217
813,1855,589,482,185,993,832,501.5,217
712,1880,558,441,194,916,762,525.5,217
671,1701,547,437,195,932,719,437,218
656,1755,574,438,187,922,703,471.5,218
845,1786,587,485,188,1008,871,462.5,218
760,1818,608,447,198,957,771,487.5,218
805,1853,584,468,193,998,832,499.5,218
730,1878,566,459,199,906,773,510.5,218
837,1884,571,492,208,1005,804,488,218
1123,1944,594,509,192,1075,1053,525.5,218
680,1744,568,453,183,917,779,462.5,219
588,1748,550,435,203,904,693,453.5,219
666,1768,571,454,187,985,701,470,219
913,1777,580,497,189,1061,931,451,219
936,1794,593,504,190,997,893,455,219
879,1804,578,469,187,997,876,480.5,219
725,1807,581,443,196,905,739,486,219
583,1675,551,401,187,891,721,450,220
881,1849,565,512,204,1038,842,464.5,220
813,1687,549,438,194,954,962,430.5,221
854,1805,593,504,191,997,822,459.5,221
678,1727,564,455,182,952,725,454,222
651,1728,564,449,191,918,740,448.5,223
701,1789,579,460,193,934,761,471.5,223
800,1866,607,487,198,937,805,491.5,223
713,1763,547,449,196,983,760,461,224
807,1864,583,464,202,956,854,498,224
817,1793,554,478,193,1005,826,464.5,225
907,1794,580,504,205,1001,944,440,225
796,1785,560,472,201,975,915,455.5,226
557,1711,542,432,192,885,680,447.5,230
635,1744,575,462,189,860,759,452,240
